Name,Age,Overall
A. Milik,24,81
M. Sabitzer,24,81
B. Mendy,23,81
C. Kramer,27,81
S. Vrsaljko,26,81
T. Hazard,25,81
K. Bellarabi,28,81
S. Zaza,27,81
F. Ghoulam,27,81
B. Lecomte,27,81
J. Iličić,30,81
K. Volland,25,81
Paco Alcácer,24,81
Vitolo,28,81
G. Xhaka,25,81
D. Tadić,29,81
C. Aránguiz,29,81
S. Verdi,25,81
D. Lovren,28,81
G. Medel,30,81
X. Shaqiri,26,81
J. Corona,25,81
A. Areola,25,81
K. Vogt,26,81
Ander Herrera,28,81
E. Salvio,27,81
S. El Shaarawy,25,81
C. Smalling,28,81
Hulk,31,81
S. Kagawa,29,81
M. Lanzini,25,81
F. Smolov,28,81
L. Stindl,29,81
O. Toprak,28,81
D. Perotti,29,81
F. Muslera,32,81
B. Höwedes,30,81
S. Kjær,29,81
S. Bender,29,81
M. Valbuena,33,81
Pedro León,31,81
K. Boateng,31,81
L. Piszczek,33,81
A. Candreva,31,81
D. Wass,29,81
E. Lamela,26,81
D. Rose,27,81
C. Vela,29,81
Renato Augusto,30,81
A. Valencia,32,81
L. Fabiański,33,81
João Moutinho,31,81
Borja Valero,33,81
F. Quagliarella,35,81
B. Gomis,32,81
Manuel Fernandes,32,81
H. Herrera,28,81
Raffael,33,81
Nani,31,81
J. Milner,32,81
J. Mathieu,34,81
Joaquín,36,81
M. Gómez,21,80
K. Havertz,19,80
T. Ndombele,21,80
H. Aouar,20,80
Carlos Soler,21,80
Odriozola,22,80
M. Almirón,24,80
Welington Dano,30,80
Everton Andrão,34,80
Oyarzabal,21,80
F. Balbuena,26,80
M. Marega,27,80
B. Pavard,22,80
W. Ndidi,21,80
A. Onana,22,80
G. Lo Celso,22,80
M. Acuña,26,80
Rúben Neves,21,80
Mariano,24,80
Raúl,28,80
M. Caldara,24,80
M. Vecino,26,80
T. Bakayoko,23,80
M. Dahoud,22,80
Rafa,25,80
K. Baldé,23,80
G. Rulli,26,80
F. Armani,31,80
Rony Lopes,22,80
Santi Mina,22,80
K. Demirbay,24,80
Gayà,23,80
André Gomes,24,80
N. Tagliafico,25,80
M. Sanson,23,80
Pacheco,26,80
E. Can,24,80
H. Çalhanoğlu,24,80
M. Ginter,24,80
M. Keane,25,80
L. Paredes,24,80
T. Stepanenko,28,80
L. Shaw,22,80
Z. Feddal,28,80
S. Haller,24,80
Bernard,25,80
T. Inui,30,80
Portu,26,80
M. Batshuayi,24,80
E. Zahavi,30,80
T. Vaclík,29,80
N. Pope,26,80
Héctor Bellerín,23,80
P. Kadeřábek,26,80
J. Butland,25,80
J. Vestergaard,25,80
J. Tarkowski,25,80
Deulofeu,24,80
E. Dier,24,80
J. Murillo,26,80
M. Badelj,29,80
Ismaily,28,80
N. Schulz,25,80
L. Digne,24,80
M. Uth,26,80
Cristian Tello,26,80
D. Vida,29,80
L. Muriel,27,80
V. Aboubakar,26,80
A. Oxlade-Chamberlain,24,80
S. Aurier,25,80
J. Matip,26,80
Y. Rakitskyi,28,80
Sergi Enrich,28,80
A. Yarmolenko,28,80
Hugo Mallo,27,80
André Almeida,27,80
D. Didavi,28,80
R. Rodríguez,25,80
R. Pereyra,27,80
Mario Gaspar,27,80
Maicon,29,80
D. Blind,28,80
J. Zoet,27,80
A. Ljajić,26,80
Canales,27,80
Iago Falqué,28,80
L. de Jong,27,80
Guaita,31,80
Muniain,25,80
Susaeta,30,80
S. Rudy,28,80
K. Trapp,27,80
V. Wanyama,27,80
N. Nkoulou,28,80
R. Boudebouz,28,80
Camacho,28,80
S. Ulreich,29,80
M. Musacchio,27,80
C. Stuani,31,80
P. Gulácsi,28,80
Bruno,34,80
F. Delph,28,80
A. Lallana,30,80
Marcelo,31,80
S. Coleman,29,80
Alexandre Pato,28,80
Antunes,31,80
Nacho Monreal,32,80
Beñat,31,80
A. Fernández,32,80
K. Gameiro,31,80
I. Piatti,33,80
V. Birsa,31,80
S. Romero,31,80
D. Criscito,31,80
D. Valeri,32,80
D. Sturridge,28,80
Raúl García,31,80
S. Defour,30,80
M. Škrtel,33,80
S. Radu,31,80
G. Cahill,32,80
L. Diarra,33,80
L. Perrin,32,80
Dante,34,80
A. Granqvist,33,80
A. Gignac,32,80
M. Gómez,32,80
I. Akinfeev,32,80
I. Denisov,34,80
Juanfran,33,80
Diego López,36,80
Santi Cazorla,33,80
Jesús Navas,32,80
J. Mascherano,34,80
A. Mirante,34,80
D. Srna,36,80
B. Schweinsteiger,33,80
Moyá,34,80
W. Rooney,32,80
Fernando Torres,34,80
S. Sorrentino,39,80
V. Tsygankov,20,79
Rúben Dias,21,79
David Neres,21,79
Raphinha,21,79
A. Harit,21,79
Richarlison,21,79
L. Martínez,20,79
F. Kessié,21,79
Luimo Boas Santos,30,79
Gabri Prestão,26,79
Melvin Parrela,30,79
Antônio Chiamuloira,30,79
Maikel Catarino,34,79
A. Lunev,26,79
André Silva,22,79
C. Pulisic,19,79
M. Dmitrović,26,79
L. Tousart,21,79
Marcos Llorente,23,79
B. Verbič,24,79
S. Bergwijn,20,79
A. Diallo,22,79
A. Golovin,22,79
M. Campaña,29,79
C. Pavón,22,79
K. Toko-Ekambi,25,79
Granell,29,79
F. Cervi,24,79
J. Weigl,22,79
V. Lindelöf,23,79
A. Rebić,24,79
A. Sanabria,22,79
R. Battaglia,26,79
M. Philipp,24,79
A. Saint-Maximin,21,79
D. Zappacosta,26,79
L. Alario,25,79
D. Benedetto,28,79
I. Marcone,28,79
J. Gbamin,22,79
J. Lerma,23,79
Ricardo Horta,23,79
R. Zobnin,24,79
M. Meyer,22,79
Bruma,23,79
R. Centurión,25,79
Jonny,24,79
Otávio,23,79
J. Hofmann,25,79
N. Aké,23,79
J. Hector,28,79
S. Kolašinac,25,79
G. Pizarro,28,79
Roger,27,79
Sergio Rico,24,79
L. Milivojević,27,79
D. Baselli,26,79
K. Rekik,23,79
Denis Suárez,24,79
W. Orban,25,79
Mário Rui,27,79
Iñigo Martínez,27,79
K. Zouma,23,79
Roque Mesa,29,79
J. Brooks,25,79
L. Karius,25,79
Zé Luís,27,79
D. Klaassen,25,79
M. Elyounoussi,23,79
L. Bittencourt,24,79
Sergi Darder,24,79
J. Roussillon,25,79
D. Demme,26,79
J. Gouweleeuw,26,79
M. Rojo,28,79
J. Veretout,25,79
L. Kurzawa,25,79
G. Ramírez,27,79
David López,28,79
C. Tătăruşanu,32,79
A. Mandi,26,79
D. Sidibé,25,79
Y. Konoplyanka,28,79
S. Berghuis,26,79
H. Vanaken,25,79
Campaña,25,79
M. van Ginkel,25,79
Nolito,31,79
M. Gregoritsch,24,79
Ibai Gómez,28,79
Danilo,26,79
R. Barkley,24,79
M. Ryan,26,79
Sergio León,29,79
B. Stambouli,27,79
J. Guilavogui,27,79
Sérgio Oliveira,26,79
D. Caligiuri,30,79
C. Wilson,26,79
P. Jones,26,79
Borja García,27,79
Y. Belhanda,28,79
G. Pezzella,27,79
Jaume Costa,30,79
C. Tosun,27,79
Escudero,28,79
Kike García,28,79
Elkeson,28,79
Ricardo Goulart,27,79
J. Guðmundsson,27,79
N. Clyne,27,79
M. Hitz,30,79
De Marcos,29,79
B. Mee,28,79
Rafael,27,79
Iborra,30,79
J. Wilshere,26,79
B. Hübner,28,79
Souza,29,79
F. Coquelin,27,79
Alex Teixeira,28,79
A. Dzagoev,28,79
I. Smolnikov,29,79
Y. M'Vila,28,79
K. Asamoah,29,79
R. Zieler,29,79
D. Drinkwater,28,79
N. Kalinić,30,79
Mariano,32,79
S. Feghouli,28,79
Adrien Silva,29,79
Fernando,30,79
I. Traoré,30,79
G. Mercado,31,79
N. Petersen,29,79
O. Karnezis,32,79
M. Sakho,28,79
Sidnei,28,79
S. Jovetić,28,79
Eder,31,79
J. Hernández,30,79
Fabricio,30,79
Kiko Casilla,31,79
Ángel,31,79
M. Schneiderlin,28,79
M. Fellaini,30,79
P. Wernbloom,32,79
D. Ospina,29,79
S. Mignolet,30,79
A. Begović,31,79
N. Şahin,29,79
R. Bertrand,28,79
A. Masiello,32,79
T. Walcott,29,79
Charles,34,79
T. Heaton,32,79
H. Ben Arfa,31,79
D. Abraham,31,79
E. Lavezzi,33,79
S. Kalou,32,79
J. Farfán,33,79
R. Babel,31,79
A. Young,32,79
J. Hart,31,79
L. López,35,79
D. Baier,34,79
B. Yılmaz,32,79
R. Adler,33,79
S. Lichtsteiner,34,79
E. Adebayor,34,79
E. Belözoğlu,37,79
Loren,24,78
Éder Militão,20,78
F. Chiesa,20,78
M. Lazzari,24,78
A. Hakimi,19,78
S. Nakajima,23,78
L. Jović,20,78
S. Ascacíbar,21,78
A. Lafont,19,78
T. Alexander-Arnold,19,78
F. Krovinović,22,78
Sidney Pessinho,26,78
Everticinho,30,78
Claudio Coíntra,34,78
Ronaldo Esler,30,78
P. Lees-Melou,25,78
B. Chilwell,21,78
João Novais,24,78
D. Calabria,21,78
F. Mendy,23,78
L. Pellegrini,22,78
Soares,27,78
Daniel Podence,22,78
M. Díaz,32,78
G. Martínez,25,78
M. Eggestein,21,78
Trezeguet,23,78
N. Amiri,21,78
Vallejo,21,78
J. Gomez,21,78
Diogo Jota,21,78
Joan Jordán,23,78
Dyego Sousa,28,78
A. Marušić,25,78
David Soria,25,78
V. Rongier,23,78
W. Weghorst,25,78
O. Al Soma,29,78
M. Nakamba,24,78
Petros,29,78
Pablo Maffeo,20,78
Y. Mina,23,78
M. Dúbravka,29,78
Diego Carlos,25,78
D. Djené,26,78
G. Simeone,22,78
M. Meza,25,78
Bastos,26,78
S. Lobotka,23,78
Y. Tielemans,21,78
Marcelo Goiano,30,78
K. Tete,22,78
Capa,26,78
M. Sportiello,26,78
Jemerson,25,78
N. Maksimović,26,78
D. Zapata,27,78
J. Correa,23,78
E. Rigoni,25,78
C. Izquierdoz,29,78
W. Barrios,24,78
J. Mojica,25,78
A. Selikhov,24,78
A. Iwobi,22,78
D. Laxalt,25,78
N. Bentaleb,23,78
N. Stark,23,78
M. Lemina,24,78
L. Dendoncker,23,78
Ricardo Esgaio,25,78
P. Sisto,23,78
P. Max,24,78
R. Gagliardini,24,78
Pere Pons,25,78
D. Berardi,23,78
M. Halstenberg,26,78
J. Quintero,25,78
Tiago Volpi,27,78
Óliver Torres,23,78
Omar Mascarell,25,78
H. Sakai,28,78
Andreas Pereira,22,78
A. Januzaj,23,78
B. Cristante,23,78
Matheus,25,78
B. Traoré,22,78
Y. Poulsen,24,78
L. Trossard,23,78
M. Arnold,24,78
M. De Sciglio,25,78
Leo Baptistao,25,78
V. Chiricheş,28,78
L. Pavoletti,29,78
A. Cragno,24,78
L. Castro,29,78
N. Füllkrug,25,78
F. Fajr,29,78
R. Jiménez,27,78
E. Sala,27,78
S. García,27,78
S. Arias,26,78
B. Reynet,27,78
Pozuelo,26,78
A. Trebel,27,78
J. Lascelles,24,78
T. Kongolo,24,78
A. Carrillo,27,78
Álvaro,28,78
G. Defrel,27,78
Fernando,26,78
V. Darida,27,78
R. Saponara,26,78
Pedro Mendes,27,78
C. Schindler,28,78
N. Chadli,28,78
Arbilla,31,78
L. Dunk,26,78
P. Hernández,31,78
J. Guidetti,26,78
Sergi Gómez,26,78
Oriol Romeu,26,78
Lucas Pérez,29,78
B. Natcho,30,78
Cláudio Ramos,26,78
F. Lejeune,27,78
G. Krychowiak,28,78
N. Lodeiro,29,78
O. Özyakup,25,78
C. Tévez,34,78
K. Papadopoulos,26,78
M. Gradel,30,78
M. Debuchy,32,78
V. Moses,27,78
Z. Junuzović,30,78
Granero,30,78
J. Baumgartlinger,30,78
Fábio Coentrão,30,78
B. Costil,30,78
Hilton,40,78
N. Gudelj,26,78
L. Pratto,30,78
E. Hernández,30,78
Jurado,32,78
R. Cabella,28,78
Rafael Tolói,27,78
C. Bravo,35,78
Hernanes,33,78
K. Honda,32,78
A. Dzyuba,29,78
J. Holebas,34,78
Javi García,31,78
Sergio,31,78
M. Cáceres,31,78
Daniel Carriço,29,78
J. Cork,29,78
J. Tomkins,29,78
Guilherme,32,78
Gervinho,31,78
J. Shelvey,26,78
R. Eremenko,31,78
R. Vormer,30,78
J. Lens,30,78
Adriano,33,78
S. Cook,27,78
L. Podolski,33,78
C. Ansaldi,31,78
Manu García,32,78
R. Alessandrini,29,78
J. Ward-Prowse,23,77
M. Harnik,31,77
B. Moukandjo,29,77
G. Pereiro,23,77
G. Castro,31,77
Aarón Martín,21,77
F. Johnson,30,77
L. López,28,77
M. Dossevi,30,77
Caiuby,29,77
Gabriel,24,77
Iván Ramis,33,77
M. Suchý,30,77
T. Vilhena,23,77
E. Çolak,27,77
V. Germain,28,77
G. Hoarau,34,77
Sergio García,35,77
E. Choupo-Moting,29,77
J. Pinola,35,77
J. Hendrix,23,77
J. Izquierdo,25,77
S. Sydorchuk,27,77
C. Grenier,27,77
T. Strobl,28,77
V. Odjidja-Ofoe,29,77
N. Guzmán,32,77
F. Fabra,27,77
J. Maddison,21,77
K. El Ahmadi,33,77
M. Carcela-González,29,77
M. Gabbiadini,26,77
Gomes,37,77
M. Ritchie,28,77
G. Bou,28,77
Javi Fuego,34,77
E. Akbaba,25,77
J. Amavi,24,77
R. Malinovskyi,25,77
D. Welbeck,27,77
G. Conti,23,77
Bruno,28,77
Garry Rodrigues,27,77
A. Schwolow,26,77
L. Cook,21,77
P. Pérez,32,77
Gazzolisco,30,77
Jonatan Soriano,32,77
Rubén Peña,26,77
Mikel San José,29,77
P. Groß,27,77
L. Baines,33,77
A. Ogbonna,30,77
Juan Jesus,27,77
J. Martínez,31,77
N. Elvedi,21,77
G. Moreno,32,77
J. Valdivia,34,77
A. Carroll,29,77
Luís Neto,30,77
A. Pyatov,34,77
T. Gutiérrez,33,77
Álex Remiro,23,77
Wilson Eduardo,27,77
Jorge Meré,21,77
M. Elneny,25,77
D. Torres,28,77
Y. Bounou,27,77
A. Prijović,28,77
A. Jahanbakhsh,24,77
J. Calleri,24,77
Simão Acunha,30,77
N. Müller,30,77
L. Ocampos,23,77
J. Rodriguez,28,77
V. Ibišević,33,77
S. Rondón,28,77
Victor Sánchez,30,77
D. Suárez,30,77
K. Huntelaar,34,77
L. Dubois,23,77
André Pinto,28,77
K. Lala,26,77
O. Kıvrak,30,77
A. Bertolacci,27,77
E. Giaccherini,33,77
A. Živković,21,77
R. Ábila,28,77
P. Diop,32,77
D. Garmash,28,77
T. Chandler,28,77
R. Klavan,32,77
A. Miranchuk,22,77
D. Da Silva,30,77
D. Benaglio,34,77
T. Rincón,30,77
M. Pereira,34,77
C. Borges,30,77
J. Sand,37,77
Markel Bergara,32,77
Vágner Love,34,77
B. Bourigeaud,24,77
R. Soriano,27,77
D. Kuzyaev,25,77
R. Sambueza,34,77
Montoya,27,77
A. Poli,28,77
C. Austin,28,77
L. Tonelli,28,77
M. Zárate,31,77
J. Sancho,18,77
D. Basta,33,77
Marçal,29,77
Munir,22,77
G. Sio,29,77
J. McCarthy,27,77
J. Aquino,28,77
H. Pérez,29,77
Jô,31,77
R. Gurtner,31,77
C. Sánchez,32,77
M. Sissoko,28,77
W. Anton,21,77
E. Skhiri,23,77
Rúben Vezo,24,77
Jorge Molina,36,77
M. Hasebe,34,77
A. Schürrle,27,77
O. Ighalo,29,77
L. Acosta,30,77
V. Babacan,29,77
R. Aguilar,25,77
Yeray,23,77
J. Defoe,35,77
L. Schøne,32,77
C. Ünder,20,77
M. Dabbur,26,77
Roberto,32,77
Djaniny,27,77
Wallace,23,77
Pedro Obiang,26,77
D. Heintz,24,77
N. Mukiele,20,77
T. Vermaelen,32,77
I. Abate,31,77
Diego Llorente,24,77
C. Wood,26,77
Formosandrinho,26,77
E. Pulgar,24,77
V. Vasin,29,77
V. Grifo,25,77
A. Turan,31,77
J. dos Santos,28,77
D. Schwaab,29,77
M. Schmelzer,30,77
L. Spinazzola,25,77
A. Dragović,27,77
D. Pröpper,26,77
R. Inglese,26,77
A. Marchesín,30,77
R. De Paul,24,77
C. Gentner,32,77
G. Murray,34,77
Rafael Carioca,29,77
A. McCarthy,28,77
L. Chichizola,28,77
D. Zakaria,21,77
G. Dzhikiya,24,77
N. Castillo,25,77
D. Origi,23,77
O. Yokuşlu,24,77
D. Cheryshev,27,77
D. Selke,23,77
Wendell,24,77
M. Layún,30,77
Y. Sabaly,25,77
P. Cutrone,20,77
F. Marchetti,35,77
W. Cyprien,23,77
G. Paletta,32,77
F. Caicedo,29,77
Jordi Masip,29,77
B. Espinosa,28,77
M. Benassi,23,77
P. Jagielka,35,77
J. Kucka,31,77
R. Brady,26,77
A. Szymanowski,29,77
W. Reid,29,77
Cédric,26,77
R. Civelli,34,77
R. Loftus-Cheek,22,77
S. De Maio,31,77
S. Brown,33,77
A. Mitrović,23,77
P. Skjelbred,31,77
D. Cvitanich,34,77
K. Lasagna,25,77
R. Palacio,36,77
M. Wolf,23,77
E. Gigliotti,31,77
N. Jørgensen,27,77
Laguardia,28,77
J. Lukaku,23,77
J. Augustin,21,77
M. Diakhaby,21,77
Douglas,35,77
N. Pejčinović,30,77
D. van de Beek,21,77
Borja Iglesias,25,77
G. Shibasaki,26,77
W. Hughes,23,77
S. Boufal,24,77
T. Kehrer,21,77
M. Lang,27,77
E. Gutiérrez,23,77
D. Upamecano,19,77
Jefferson,29,77
W. Benítez,25,77
E. Bardhi,22,77
K. Mbodji,28,77
B. Sarr,26,77
F. Ferreyra,27,77
Danilo,34,77
A. Ayew,28,77
K. Mitroglou,30,77
J. Villar,41,77
P. Herrmann,27,77
D. da Costa,24,77
V. Fischer,24,77
Wesley,21,77
D. Ginczek,27,77
F. Kostić,25,77
R. Fraser,24,77
Cote,28,77
H. Winks,22,77
K. Mbabu,23,77
M. Hinteregger,25,77
L. Acosta,24,77
Sidcley,25,77
M. Jørgensen,28,77
M. Fabián,28,77
Carlos Eduardo,28,77
Rubén Castro,37,77
L. Augustinsson,24,77
S. Aziz,27,77
G. Ochoa,32,77
P. Hetemaj,31,77
André André,28,77
Vinícius Júnior,17,77
B. Džemaili,32,77
Juanpe,27,77
K. Fortounis,25,77
M. Vorm,34,77
B. Oczipka,29,77
R. Bentancur,21,77
T. Hernández,20,77
M. Lowton,29,77
I. Diop,21,77
B. André,27,77
C. Piccini,25,77
Paulinho,25,77
A. Diawara,20,77
Yuri Berchiche,28,77
José Sá,25,77
F. Kamano,22,77
F. Cartabia,25,77
E. Ünal,21,77
I. Radovanović,29,77
Renan Ribeiro,28,77
Jony,26,77
D. Buonanotte,30,77
Tomás Pina,30,77
N. Pallois,30,77
D. Latza,28,77
F. Belluschi,34,77
O. Abdulrahman,26,77
O. Trejo,30,77
N. Barella,21,77
Angeliño,21,77
Vieirundinho,30,77
F. Orellana,32,77
F. Grillitsch,22,77
C. Ortíz,29,77
Bruno Viana,23,77
J. Maidana,32,77
R. Funes Mori,27,77
D. Kohr,24,77
F. Higuaín,33,77
A. Barák,23,77
F. Andone,25,77
Adrián,30,77
G. González,30,77
Otávio,24,77
D. Janmaat,28,77
R. Funes Mori,27,77
P. Schick,22,77
Aleix Vidal,28,77
A. Schöpf,24,77
W. Boly,27,77
Alberto Moreno,25,77
C. Villanueva,32,77
M. Weiser,24,77
G. Escalante,25,77
M. Holgate,21,76
J. Hopf,31,76
D. Zurutuza,31,76
Juanmi,25,76
K. Gibbs,28,76
F. Fernández,29,76
L. Kalinić,28,76
N. Radoja,25,76
N. Blandi,28,76
David Juncà,24,76
Wu Lei,26,76
Gabriel Boschilia,22,76
Iuri Medeiros,23,76
M. Phillips,27,76
Iván Cuéllar,34,76
J. Lössl,29,76
Mario Suárez,31,76
W. Bony,29,76
S. Doumbia,30,76
D. Reyes,25,76
Bernat,25,76
V. Behrami,33,76
S. Langkamp,30,76
J. Sosa,33,76
A. Touré,24,76
Jesé,25,76
D. Ings,25,76
M. Esser,30,76
F. Acheampong,24,76
R. Knoche,26,76
O. Vlachodimos,24,76
J. Denayer,23,76
S. Rode,27,76
